source	target
EP17-TheLostSoulOfHermanLester	try
EP17-TheLostSoulOfHermanLester	turn
EP17-TheLostSoulOfHermanLester	go
EP17-TheLostSoulOfHermanLester	know
EP17-TheLostSoulOfHermanLester	happen
EP17-TheLostSoulOfHermanLester	live
EP17-TheLostSoulOfHermanLester	♪
EP17-TheLostSoulOfHermanLester	steal
EP17-TheLostSoulOfHermanLester	feel
EP5-TheRunner	go
EP5-TheRunner	need
EP5-TheRunner	carry
EP5-TheRunner	be
EP5-TheRunner	know
EP5-TheRunner	borrow
EP5-TheRunner	lean
EP5-TheRunner	fill
EP5-TheRunner	swallow
EP5-TheRunner	have
EP5-TheRunner	help
EP4-ChurchgoingPeople	touch
EP4-ChurchgoingPeople	get
EP4-ChurchgoingPeople	think
EP4-ChurchgoingPeople	see
EP4-ChurchgoingPeople	pick
EP4-ChurchgoingPeople	tell
EP4-ChurchgoingPeople	hide
EP4-ChurchgoingPeople	guess
EP4-ChurchgoingPeople	burn
EP4-ChurchgoingPeople	learn
EP4-ChurchgoingPeople	need
EP4-ChurchgoingPeople	give
EP4-ChurchgoingPeople	keep
EP4-ChurchgoingPeople	come
EP4-ChurchgoingPeople	play
EP4-ChurchgoingPeople	have
EP4-ChurchgoingPeople	take
EP4-ChurchgoingPeople	know
EP4-ChurchgoingPeople	live
EP6-LoveConquersAI	lift
EP6-LoveConquersAI	touch
EP6-LoveConquersAI	love
EP6-LoveConquersAI	get
EP6-LoveConquersAI	tease
EP6-LoveConquersAI	heal
EP6-LoveConquersAI	see
EP6-LoveConquersAI	knock
EP6-LoveConquersAI	mean
EP6-LoveConquersAI	stay
EP6-LoveConquersAI	make
EP6-LoveConquersAI	listen
EP6-LoveConquersAI	wish
EP6-LoveConquersAI	be
EP6-LoveConquersAI	do
EP6-LoveConquersAI	find
EP6-LoveConquersAI	keep
EP6-LoveConquersAI	come
EP6-LoveConquersAI	hang
EP6-LoveConquersAI	turn
EP6-LoveConquersAI	have
EP6-LoveConquersAI	walkin
EP6-LoveConquersAI	go
EP6-LoveConquersAI	please
EP6-LoveConquersAI	invade
EP6-LoveConquersAI	inspire
EP6-LoveConquersAI	know
EP6-LoveConquersAI	live
EP6-LoveConquersAI	reveal
EP6-LoveConquersAI	laugh
EP6-LoveConquersAI	feel
EP6-LoveConquersAI	say
EP6-LoveConquersAI	wanna
EP6-LoveConquersAI	unease
EP20-Greed	run
EP20-Greed	start
EP20-Greed	let
EP20-Greed	see
EP20-Greed	lack
EP20-Greed	forget
EP20-Greed	cry
EP20-Greed	stay
EP20-Greed	reach
EP20-Greed	be
EP20-Greed	keep
EP20-Greed	end
EP20-Greed	have
EP20-Greed	click
EP20-Greed	go
EP20-Greed	stray
EP20-Greed	know
EP20-Greed	sing
EP20-Greed	feel
EP20-Greed	say
